Index,Name,Category,Year,Link
1,Wilhelm Röntgen,Year,1901,/wiki/Wilhelm_Röntgen
2,Jacobus Henricus van 't Hoff,Physics,1901,/wiki/Jacobus_Henricus_van_'t_Hoff
3,Emil von Behring,Chemistry,1901,/wiki/Emil_von_Behring
4,Sully Prudhomme,Physiologyor Medicine,1901,/wiki/Sully_Prudhomme
5,Henry Dunant,Literature,1901,/wiki/Henry_Dunant
6,Hendrik Lorentz,Year,1902,/wiki/Hendrik_Lorentz
7,Emil Fischer,Physics,1902,/wiki/Emil_Fischer
8,Ronald Ross,Chemistry,1902,/wiki/Ronald_Ross
9,Theodor Mommsen,Physiologyor Medicine,1902,/wiki/Theodor_Mommsen
10,Élie Ducommun,Literature,1902,/wiki/Élie_Ducommun
11,Henri Becquerel,Year,1903,/wiki/Henri_Becquerel
12,Svante Arrhenius,Physics,1903,/wiki/Svante_Arrhenius
13,Niels Ryberg Finsen,Chemistry,1903,/wiki/Niels_Ryberg_Finsen
14,Bjørnstjerne Bjørnson,Physiologyor Medicine,1903,/wiki/Bjørnstjerne_Bjørnson
15,Randal Cremer,Literature,1903,/wiki/Randal_Cremer
16,Lord Rayleigh,Year,1904,"/wiki/John_Strutt,_3rd_Baron_Rayleigh"
17,William Ramsay,Physics,1904,/wiki/William_Ramsay
18,Ivan Pavlov,Chemistry,1904,/wiki/Ivan_Pavlov
19,Frédéric Mistral,Physiologyor Medicine,1904,/wiki/Frédéric_Mistral
20,Institut de Droit International,Literature,1904,/wiki/Institut_de_Droit_International
21,Philipp Lenard,Year,1905,/wiki/Philipp_Lenard
22,Adolf von Baeyer,Physics,1905,/wiki/Adolf_von_Baeyer
23,Robert Koch,Chemistry,1905,/wiki/Robert_Koch
24,Henryk Sienkiewicz,Physiologyor Medicine,1905,/wiki/Henryk_Sienkiewicz
25,Bertha von Suttner,Literature,1905,/wiki/Bertha_von_Suttner
26,J. J. Thomson,Year,1906,/wiki/J._J._Thomson
27,Henri Moissan,Physics,1906,/wiki/Henri_Moissan
28,Camillo Golgi,Chemistry,1906,/wiki/Camillo_Golgi
29,Giosuè Carducci,Physiologyor Medicine,1906,/wiki/Giosuè_Carducci
